name;dosage;form
Cefuroxima;1500 mg/16 ml;Pó e solvente para solução injetável
Cefuroxima;250 mg;Comprimido revestido
Cefuroxima;250 mg;Comprimido revestido por película
Cefuroxima;250 mg/1 ml;Pó e veículo para suspensão injetável
Cefuroxima;250 mg/2 ml;Pó e solvente para solução injetável
Cefuroxima;250 mg/5 ml;Granulado para suspensão oral
Cefuroxima;50 mg;Pó para solução injetável
Cefuroxima;500 mg;Comprimido revestido
Cefuroxima;500 mg;Comprimido revestido por película
Cefuroxima;750 mg;Pó para solução injetável
Cefuroxima;750 mg;Pó para solução injetável ou para perfusão
Cefuroxima;750 mg;Pó para solução para perfusão
Cefuroxima;750 mg/3 ml;Pó e veículo para suspensão injetável
Cefuroxima;750 mg/6 ml;Pó e solvente para solução injetável
Celecoxib;100 mg;Cápsula
Celecoxib;200 mg;Cápsula
Células autólogas CD34+ que codificam o gene da ßA-T87Q-globina;1.2 - 20 x10e6 células/ml;Dispersão para perfusão
Células epiteliais autólogas de córnea humana expandidas ex vivo contendo células estaminais;300.000 - 1.200.000 células;Equivalente de tecido vivo
Células vivas de levedura + Óleo de fígado de tubarão;10 mg/g + 30 mg/g;Pomada retal
Células vivas de levedura + Óleo de fígado de tubarão;23 mg + 69 mg;Supositório
Cemiplimab;50 mg/ml;Concentrado para solução para perfusão
Cenegermina;20 µg/ml;"Colírio; solução"
Centela;10 mg/g;Pomada
Centela;30 mg;Cápsula
Ceritinib;150 mg;Cápsula
Cerliponase alfa;30 mg/ml;Solução para perfusão
Certolizumab pegol;200 mg/1 ml;Solução injetável em caneta pré-cheia
Certolizumab pegol;200 mg/1 ml;Solução injetável em cartucho
Certolizumab pegol;200 mg/1 ml;Solução injetável em seringa pré-cheia
Cetamina;10 mg/ml;Solução injetável ou para perfusão
Cetamina;200 mg/20 ml;Solução injetável
Cetamina;50 mg/ml;Solução injetável ou para perfusão
Cetamina;500 mg/10 ml;Solução injetável
Cetazolam;15 mg;Cápsula
Cetazolam;30 mg;Cápsula
Cetirizina;1 mg/ml;Solução oral
Cetirizina;10 mg;Comprimido para chupar
Cetirizina;10 mg;Comprimido revestido
Cetirizina;10 mg;Comprimido revestido por película
Cetoconazol;20 mg/g;Champô
Cetoconazol;20 mg/g;Creme
Cetoconazol;20 mg/ml;Líquido cutâneo
Cetoconazol;200 mg;Comprimido
Cetoprofeno;100 mg;Cápsula
Cetoprofeno;100 mg;Supositório
Cetoprofeno;100 mg/2 ml;Solução injetável
Cetoprofeno;20 mg;Emplastro medicamentoso
Cetoprofeno;200 mg;Comprimido de libertação prolongada
Cetoprofeno;25 mg;Comprimido revestido
Cetoprofeno;25 mg;Granulado revestido em saqueta
Cetoprofeno;25 mg/g;Gel
Cetorolac;10 mg;Comprimido revestido
Cetorolac;10 mg/1 ml;Solução injetável
Cetorolac;30 mg/1 ml;Solução injetável
Cetorolac;5 mg/ml;"Colírio; solução"
Cetotifeno;0.1 mg/0.4 ml;"Colírio; solução"
Cetotifeno;0.125 mg/0.5 ml;"Colírio; solução"
Cetotifeno;0.2 mg/ml;Xarope
Cetotifeno;0.25 mg/ml;"Colírio; solução"
Cetotifeno;1 mg;Cápsula
Cetrimida;5 mg/g;Creme
Cetrimida + Cloro-hexidina;150 mg/ml + 15 mg/ml;Solução cutânea
Cetrorrelix;0.25 mg/1 ml;Pó e solvente para solução injetável
Cetuximab;5 mg/ml;Solução para perfusão
Ciamemazina;100 mg;Comprimido revestido
Ciamemazina;40 mg/ml;"Gotas orais; solução"
Cianocobalamina;1 mg;Comprimido revestido
Cianocobalamina;1 mg;Comprimido revestido por película
Cianocobalamina;1 mg/1 ml;Solução injetável
Cianocobalamina + Piridoxina + Tiamina;0.2 mg + 200 mg + 100 mg;Comprimido revestido
Cianocobalamina + Piridoxina + Tiamina;Associação;Solução injetável
Ciclobenzaprina;10 mg;Comprimido
Ciclobenzaprina;15 mg;Cápsula de libertação prolongada
Ciclobenzaprina;30 mg;Cápsula de libertação prolongada
Ciclofosfamida;1000 mg;Pó para solução injetável
Ciclofosfamida;50 mg;Comprimido revestido
Ciclofosfamida;500 mg;Pó para solução injetável
Ciclopentolato;10 mg/ml;"Colírio; solução"
Ciclopirox;10 mg/g;Creme
Ciclopirox;10 mg/g;Pó cutâneo
Ciclopirox;10 mg/ml;Solução cutânea
Ciclopirox;15 mg/g;Champô
Ciclopirox;80 mg/g;Verniz para as unhas medicamentoso
Ciclosporina;1 mg/ml;"Colírio; emulsão"
Ciclosporina;100 mg;Cápsula mole
Ciclosporina;100 mg/ml;Solução oral
Ciclosporina;25 mg;Cápsula mole
Ciclosporina;50 mg;Cápsula mole
Ciclosporina;50 mg/ml;Concentrado para solução para perfusão
Ciclossilicato de zircónio sódico;10 g;Pó para suspensão oral
Ciclossilicato de zircónio sódico;5 g;Pó para suspensão oral
Cilazapril;0.5 mg;Comprimido revestido por película
Cilazapril;1 mg;Comprimido revestido por película
Cilazapril;2.5 mg;Comprimido revestido por película
Cilazapril;5 mg;Comprimido revestido por película
Cilazapril + Hidroclorotiazida;5 mg + 12.5 mg;Comprimido revestido por película
Cilostazol;100 mg;Comprimido
Cimetidina;200 mg;Comprimido revestido
Cimetidina;400 mg;Comprimido revestido
Cimicifuga racemosa (rizoma);6.5 mg;Comprimido revestido por película
Cinacalcet;1 mg;Granulado em cápsulas para abrir
Cinacalcet;2.5 mg;Granulado em cápsulas para abrir
Cinacalcet;30 mg;Comprimido revestido por película
Cinacalcet;5 mg;Granulado em cápsulas para abrir
Cinacalcet;60 mg;Comprimido revestido por película
Cinacalcet;90 mg;Comprimido revestido por película
Cinarizina;25 mg;Comprimido
Cinarizina;75 mg;Cápsula
Cinarizina;75 mg/ml;Suspensão oral
Cinarizina + Dimenidrinato;20 mg + 40 mg;Comprimido
Cinchocaína;10 mg/g;Pomada retal
Ciprofibrato;100 mg;Cápsula
Ciprofloxacina;100 mg/50 ml;Solução para perfusão
Ciprofloxacina;2 mg/ml;Solução para perfusão
Ciprofloxacina;200 mg/100 ml;Solução para perfusão
Ciprofloxacina;250 mg;Cápsula
Ciprofloxacina;250 mg;Comprimido revestido
Ciprofloxacina;250 mg;Comprimido revestido por película
Ciprofloxacina;3 mg/g;Pomada oftálmica
Ciprofloxacina;3 mg/ml;"Colírio; solução"
Ciprofloxacina;3 mg/ml;"Colírio; solução em recipiente unidose"
Ciprofloxacina;400 mg/200 ml;Solução para perfusão
Ciprofloxacina;500 mg;Cápsula
Ciprofloxacina;500 mg;Comprimido revestido
Ciprofloxacina;500 mg;Comprimido revestido por película
Ciprofloxacina;750 mg;Comprimido revestido
Ciprofloxacina;750 mg;Comprimido revestido por película
Ciproterona;10 mg;Comprimido
Ciproterona;100 mg;Comprimido
Ciproterona;300 mg/3 ml;Solução injetável
Ciproterona;50 mg;Comprimido
Ciproterona + Etinilestradiol;2 mg + 0.035 mg;Comprimido revestido
Ciproterona + Valerato de estradiol;(1 mg + 2 mg) + (2 mg);Comprimido revestido
Cisplatina;0.5 mg/ml;Concentrado para solução para perfusão
Cisplatina;1 mg/ml;Concentrado para solução para perfusão
Cistina + Piridoxina;300 mg + 50 mg;Cápsula
Cistina + Retinol;300 mg + 750 U.I.;Cápsula
Citalopram;10 mg;Comprimido revestido por película
Citalopram;20 mg;Comprimido revestido por película
Citalopram;30 mg;Comprimido revestido por película
Citalopram;40 mg;Comprimido revestido por película
Citarabina;100 mg/ml;Solução injetável
Citarabina;100 mg/ml;Solução injetável ou para perfusão
Citarabina;20 mg/ml;Solução injetável
Citarabina;50 mg/ml;Solução para perfusão
Citicolina;100 mg/2 ml;Solução injetável
Citicolina;100 mg/ml;Solução oral
Citicolina;1000 mg/10 ml;Solução oral
Citicolina;1000 mg/4 ml;Solução injetável
Citicolina;500 mg/2 ml;Solução injetável
Citicolina;500 mg/5 ml;Solução injetável
Citrato de gálio (67Ga);37 MBq/ml;Solução injetável
Citrato de gálio (67Ga);74 MBq/ml;Solução injetável
Citrato de potássio;1080 mg;Comprimido de libertação modificada
Citrato de sódio;38 mg/ml;Solução injetável
Citrato de sódio;50 mg/ml;Solução injetável
Citrato de sódio + Cloreto de sódio;5.29 mg/ml + 5.03 mg/ml;Solução para hemofiltração
Citrato de sódio + Laurilsulfoacetato de sódio;270 mg/3 ml + 27 mg/3 ml;Solução retal
Citrato de sódio + Laurilsulfoacetato de sódio;450 mg/5 ml + 45 mg/5 ml;Solução retal
Citrulina;2000 mg/10 ml;Solução oral
Cladribina;1 mg/ml;Solução injetável
Cladribina;10 mg;Comprimido
Cladribina;2 mg/ml;Solução injetável
Claritromicina;25 mg/ml;Granulado para suspensão oral
Claritromicina;250 mg;Comprimido revestido
Claritromicina;250 mg;Comprimido revestido por película
Claritromicina;50 mg/ml;Granulado para suspensão oral
Claritromicina;500 mg;Comprimido de libertação modificada
Claritromicina;500 mg;Comprimido de libertação prolongada
Claritromicina;500 mg;Comprimido revestido
Claritromicina;500 mg;Comprimido revestido por película
Claritromicina;500 mg;Pó para concentrado para solução para perfusão
Claritromicina;500 mg;Pó para solução injetável
Claritromicina;500 mg;Pó para solução para perfusão
Cleboprida;0.1 mg/ml;Solução oral
Cleboprida;0.5 mg;Comprimido
Clemastina;1 mg;Comprimido
Clemastina;2 mg/2 ml;Solução injetável
Clindamicina;10 mg/g;Gel
Clindamicina;10 mg/ml;Solução cutânea
Clindamicina;150 mg;Cápsula
Clindamicina;20 mg/g;Creme vaginal
Clindamicina;300 mg;Cápsula
Clindamicina;600 mg/4 ml;Solução injetável
Clindamicina + Peróxido de benzoílo;10 mg/g + 50 mg/g;Gel
Clindamicina + Tretinoína;10 mg/g + 0.25 mg/g;Gel
Clioquinol + Ácido salicílico;30 mg/g + 30 mg/g;Pomada
Clobazam;10 mg;Comprimido
Clobazam;20 mg;Comprimido
Clobetasol;0.5 mg/g;Champô
Clobetasol;0.5 mg/g;Creme
Clobetasol;0.5 mg/g;Espuma cutânea
Clobetasol;0.5 mg/g;Pomada
Clobetasol;0.5 mg/g;Solução cutânea
Clobetasona;0.5 mg/g;Creme
Clofarabina;1 mg/ml;Concentrado para solução para perfusão
Clomifeno;50 mg;Comprimido
Clomipramina;10 mg;Comprimido revestido
Clomipramina;25 mg;Comprimido revestido
Clomipramina;25 mg/2 ml;Solução injetável
Clomipramina;75 mg;Comprimido de libertação prolongada
Clonazepam;0.5 mg;Comprimido
Clonazepam;2 mg;Comprimido
Clonazepam;2.5 mg/ml;"Gotas orais; solução"
Clonidina;0.15 mg;Comprimido
Clonidina;2.5 mg/ml;"Colírio; solução"
Clonixina;100 mg/2 ml;Solução injetável
Clonixina;125 mg;Comprimido revestido por película
Clonixina;300 mg;Cápsula
Clopidogrel;300 mg;Comprimido revestido por película
Clopidogrel;75 mg;Comprimido
Clopidogrel;75 mg;Comprimido revestido por película
Clopidogrel + Ácido acetilsalicílico;75 mg + 100 mg;Cápsula
Clopidogrel + Ácido acetilsalicílico;75 mg + 100 mg;Comprimido revestido por película
Clopidogrel + Ácido acetilsalicílico;75 mg + 75 mg;Cápsula
Clopidogrel + Ácido acetilsalicílico;75 mg + 75 mg;Comprimido revestido por película
Clorambucilo;2 mg;Comprimido revestido por película
Cloranfenicol;10 mg/g;Pomada oftálmica
Cloranfenicol;250 mg;Comprimido revestido
Cloranfenicol;5 mg/ml;"Colírio; solução"
Cloranfenicol;8 mg/ml;"Colírio; solução"
Clorazepato dipotássico;10 mg;Cápsula
Clorazepato dipotássico;15 mg;Cápsula
Clorazepato dipotássico;5 mg;Cápsula
Cloreto de acetilcolina;20 mg/2 ml;Pó e solvente para solução injetável
Cloreto de benzalcónio;2 mg/g;Solução para pulverização cutânea
Cloreto de cálcio;100 mg/ml;Solução injetável
Cloreto de cálcio;100 mmol/l;Solução para perfusão
Cloreto de cálcio + Cloreto de potássio + Cloreto de sódio;Associação;Solução para perfusão
Cloreto de cálcio + Cloreto de potássio + Cloreto de sódio + Lactato de sódio;Associação;Solução para perfusão
Cloreto de cetilpiridínio + Lidocaína;1.25 mg + 1 mg;Comprimido para chupar
Cloreto de cobre (64Cu);925 MBq/ml;Solução para precursor radiofarmacêutico
Cloreto de dequalínio;10 mg;Comprimido vaginal
Cloreto de dequalínio + Benzocaína + Tripsina;0.25 mg + 1.5 mg + 400 U;Comprimido bucal
Cloreto de estrôncio (89Sr);37 MBq/ml;Solução injetável
Cloreto de ítrio (90Y);1.85 GBq;Solução para precursor radiofarmacêutico
Cloreto de ítrio (90Y);1.85 GBq/ml;Precursor radiofarmacêutico
Cloreto de lutécio (177Lu);40 GBq/ml;Solução para precursor radiofarmacêutico
Cloreto de lutécio (177Lu);80 GBq/ml;Precursor radiofarmacêutico
Cloreto de magnésio;1028.4 mg/10 ml;Solução oral
Cloreto de metiltionina;5 mg/ml;Solução injetável
Cloreto de potássio;100 mg/ml;Solução injetável
Cloreto de potássio;149 mg/ml;Solução injetável
Cloreto de potássio;150 mg/ml;Concentrado para solução para perfusão
Cloreto de potássio;600 mg;Comprimido de libertação prolongada
Cloreto de potássio;74.5 mg/ml;Concentrado para solução para perfusão
Cloreto de potássio;74.5 mg/ml;Solução injetável
Cloreto de potássio;75 mg/ml;Solução injetável
Cloreto de potássio + Cloreto de sódio;1.5 mg/ml + 9 mg/ml;Solução para perfusão
Cloreto de potássio + Cloreto de sódio;3 mg/ml + 9 mg/ml;Solução para perfusão
Cloreto de potássio + Cloreto de sódio + Glucose;1.49 mg/ml + 3mg/ml + 33 mg/ml;Solução para perfusão
Cloreto de potássio + Cloreto de sódio + Glucose;2.98 mg/ml + 3mg/ml + 33 mg/ml;Solução para perfusão
Cloreto de potássio + Glucose;1.5 mg/ml + 50 mg/ml;Solução para perfusão
Cloreto de potássio + Glucose;3 mg/ml + 50 mg/ml;Solução para perfusão
Cloreto de sódio;100 mg/ml;Solução injetável
Cloreto de sódio;200 mg/ml;Concentrado para solução para perfusão
Cloreto de sódio;200 mg/ml;Solução injetável
Cloreto de sódio;4.5 mg/ml;Solução injetável
Cloreto de sódio;4.5 mg/ml;Solução para perfusão
Cloreto de sódio;9 mg/ml;Solução injetável
Cloreto de sódio;9 mg/ml;Solução para perfusão
Cloreto de suxametónio;100 mg/10 ml;Solução injetável em seringa pré-cheia
Cloreto de suxametónio;100 mg/2 ml;Solução injetável
Cloreto de suxametónio;500 mg/10 ml;Solução injetável
Cloreto de tróspio;20 mg;Comprimido revestido
Cloreto de tróspio;20 mg;Comprimido revestido por película
Cloreto de tróspio;60 mg;Cápsula de libertação prolongada
Cloreto de zinco;25 mg/ml;Solução para gargarejar
Cloreto taloso (201Tl);37 MBq/ml;Solução injetável
Clorobutanol + Para-diclorobenzeno + Benzocaína;50 mg/ml + 20 mg/ml + 20 mg/ml;"Gotas auriculares; solução"
Clorodiazepóxido + Brometo de clidínio;5 mg + 2.5 mg;Comprimido revestido
Clorofenamina + Paracetamol;1 mg + 500 mg;Comprimido
Clorofenamina + Paracetamol;4 mg + 500 mg;Comprimido efervescente
Clorofenoxamina;15 mg/g;Pomada
Cloro-hexidina;1.2 mg/ml;Solução para lavagem da boca
Cloro-hexidina;10 mg/g;Gel bucal
Cloro-hexidina;10 mg/ml;Solução para pulverização cutânea
Cloro-hexidina;2 mg/ml;Solução para lavagem da boca
Cloro-hexidina;40 mg/ml;Solução cutânea
Cloro-hexidina;54.84 mg/g;Creme
Cloro-hexidina + Álcool isopropílico;20 mg/ml + 550 mg/ml;Solução cutânea
Cloro-hexidina + Álcool isopropílico;20 mg/ml + 550.9 mg/ml;Solução cutânea
Cloro-hexidina + Benzocaína;5 mg + 5 mg;Pastilha
Cloro-hexidina + Hexamidina + Clorocresol;1 mg/ml + 1 mg/ml + 3 mg/ml;Líquido cutâneo
Cloromadinona + Etinilestradiol;2 mg + 0.03 mg;Comprimido revestido por película
Clorometina;160 µg/g;Gel
Cloropromazina;100 mg;Comprimido revestido
Cloropromazina;25 mg;Comprimido revestido
Cloropromazina;25 mg/5 ml;Solução injetável
Cloropromazina;40 mg/ml;"Gotas orais; solução"
Cloropromazina;50 mg/2 ml;Solução injetável
Cloroquina;250 mg;Comprimido revestido
Cloroquina;250 mg/5 ml;Solução injetável
Clorotalidona;12.5 mg;Comprimido
Clorotalidona;25 mg;Comprimido
Clorotalidona;50 mg;Comprimido
Clotrimazol;10 mg/g;Creme
Clotrimazol;10 mg/g;Creme vaginal
Clotrimazol;10 mg/g;Pó cutâneo
Clotrimazol;10 mg/g;Solução cutânea
Clotrimazol;10 mg/ml;"Colírio; solução"
Clotrimazol;10 mg/ml;Solução cutânea
Clotrimazol;10 mg/ml;Solução para pulverização cutânea
Clotrimazol;100 mg;Comprimido vaginal
Clotrimazol;20 mg/g;Creme vaginal
Clotrimazol;500 mg;Cápsula mole vaginal
Clotrimazol;500 mg;Comprimido vaginal
Cloxazolam;1 mg;Comprimido
Cloxazolam;2 mg;Comprimido
Clozapina;100 mg;Comprimido
Clozapina;200 mg;Comprimido
Clozapina;25 mg;Comprimido
Clozapina;50 mg;Comprimido
Cobamamida;1 mg;Cápsula
Cobamamida;1 mg;Pó oral
Cobamamida;10 mg/2 ml;Pó e solvente para solução injetável
Cobamamida;2.5 mg;Cápsula
Cobamamida;2.5 mg;Comprimido
Cobamamida;20 mg/2 ml;Pó e solvente para solução injetável
Cobamamida;5 mg/2 ml;Pó e solvente para solução injetável
Cobicistate;150 mg;Comprimido revestido por película
Cobimetinib;20 mg;Comprimido revestido por película
Cocarboxilase;17.2 mg;Comprimido
Codeína;2 mg/ml;Solução oral
Codeína + Feniltoloxamina;2.22 mg/ml + 0.733 mg/ml;Xarope
Codeína + Feniltoloxamina;30 mg + 10 mg;Cápsula
Colagenase;0.6 U/g;Pomada
Colecalciferol;0.5 mg/ml;Solução oral
Colecalciferol;10000 U.I./ml;"Gotas orais; solução"
Colecalciferol;100000 U.I./1 ml;Solução oral
Colecalciferol;20000 U.I.;Cápsula mole
Colecalciferol;22400 U.I.;Comprimido revestido por película
Colecalciferol;25000 U.I.;Cápsula
Colecalciferol;25000 U.I./1 ml;Solução oral
Colecalciferol;25000 U.I./2.5 ml;Solução oral
Colecalciferol;30000 U.I.;Comprimido revestido por película
Colecalciferol;50000 U.I.;Cápsula
Colecalciferol;50000 U.I./2.5 ml;Solução oral
Colecalciferol;800 U.I.;Cápsula mole
Colessevelam;625 mg;Comprimido revestido
Colestiramina;4000 mg;Pó para suspensão oral
Colistimetato de sódio;1000000 U.I.;Pó para solução injetável ou para perfusão
Colistimetato de sódio;1000000 U.I.;Pó para solução injetável ou para solução para inalação por nebulização
Colistimetato de sódio;1000000 U.I.;Pó para solução para inalação por nebulização
Colistimetato de sódio;1662500 U.I.;"Pó para inalação; cápsula"
Colistimetato de sódio;2000000 U.I.;Pó para solução injetável ou para solução para inalação por nebulização
Colistimetato de sódio;3000000 UI;Pó para solução para perfusão
Colquicina;1 mg;Comprimido
Complexo hidróxido férrico-polimaltose;178.6 mg/ml;Solução oral
Complexo hidróxido férrico-polimaltose;357 mg;Comprimido para mastigar
Complexo hidróxido férrico-polimaltose;357 mg/5 ml;Solução oral
Condroitina;500 mg;Cápsula
Conestate alfa;150 U/ml;Pó e solvente para solução injetável
Conestate alfa;2100 U;Pó para solução injetável
Corifolitropina alfa;100 µg/0.5 ml;Solução injetável em seringa pré-cheia
Corifolitropina alfa;150 µg/0.5 ml;Solução injetável em seringa pré-cheia
Crisaborol;20 mg/g;Pomada
Crisantaspase;10000 U.I.;Pó para solução injetável
Crizanlizumab;10 mg/ml;Concentrado para solução para perfusão
Crizotinib;200 mg;Cápsula
Crizotinib;250 mg;Cápsula
Crotamiton;100 mg/g;Creme
Dabigatrano etexilato;110 mg;Cápsula
Dabigatrano etexilato;150 mg;Cápsula
Dabigatrano etexilato;75 mg;Cápsula
Dabrafenib;50 mg;Cápsula
Dabrafenib;75 mg;Cápsula
Dacarbazina;100 mg;Pó e solvente para solução injetável ou para perfusão
Dacarbazina;1000 mg;Pó para solução para perfusão
Dacarbazina;200 mg;Pó e solvente para solução injetável ou para perfusão
Dacarbazina;500 mg;Pó para solução para perfusão
Dacomitinib;15 mg;Comprimido revestido por película
Dacomitinib;30 mg;Comprimido revestido por película
Dacomitinib;45 mg;Comprimido revestido por película
Dalbavancina;500 mg;Pó para concentrado para solução para perfusão
Dalteparina sódica;12500 U.I./0.5 ml;Solução injetável
Dalteparina sódica;2500 U.I./0.2 ml;Solução injetável
Dalteparina sódica;5000 U.I./0.2 ml;Solução injetável
Dalteparina sódica;7500 U.I./0.3 ml;Solução injetável
Damoctocog alfa pegol;1000 U.I./2.5 ml;Pó e solvente para solução injetável
Damoctocog alfa pegol;2000 U.I./2.5 ml;Pó e solvente para solução injetável
Damoctocog alfa pegol;250 U.I./2.5 ml;Pó e solvente para solução injetável
Damoctocog alfa pegol;3000 U.I./2.5 ml;Pó e solvente para solução injetável
Damoctocog alfa pegol;500 U.I./2.5 ml;Pó e solvente para solução injetável
Danaparóide sódico;750 U/0.6 ml;Solução injetável
Dapagliflozina;10 mg;Comprimido revestido por película
Dapagliflozina;5 mg;Comprimido revestido por película
Dapagliflozina + Saxagliptina + Metformina;5 mg + 2.5 mg + 1000 mg;Comprimido de libertação modificada
Dapagliflozina + Saxagliptina + Metformina;5 mg + 2.5 mg + 850 mg;Comprimido de libertação modificada
Dapoxetina;30 mg;Comprimido revestido por película
Dapoxetina;60 mg;Comprimido revestido por película
Dapsona;100 mg;Comprimido
Daptomicina;350 mg;Pó para solução injetável ou para perfusão
Daptomicina;500 mg;Pó para solução injetável ou para perfusão
Daratumumab;120 mg/ml;Solução injetável
Daratumumab;20 mg/ml;Concentrado para solução para perfusão
Darbepoetina alfa;10 µg/0.4 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;10 µg/0.4 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;100 µg/0.5 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;100 µg/0.5 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;100 µg/1 ml;Solução injetável
Darbepoetina alfa;130 µg/0.65 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;130 µg/0.65 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;15 µg/0.375 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;15 µg/0.375 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;150 µg/0.3 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;150 µg/0.3 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;20 µg/0.5 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;20 µg/0.5 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;200 µg/1 ml;Solução injetável
Darbepoetina alfa;25 µg/1 ml;Solução injetável
Darbepoetina alfa;30 µg/0.3 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;30 µg/0.3 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;300 µg/0.6 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;300 µg/0.6 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;300 µg/1 ml;Solução injetável
Darbepoetina alfa;40 µg/0.4 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;40 µg/0.4 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;40 µg/1 ml;Solução injetável
Darbepoetina alfa;50 µg/0.5 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;50 µg/0.5 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;500 µg/1 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;500 µg/1 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;60 µg/0.3 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;60 µg/0.3 ml;Solução injetável em seringa pré-cheia
Darbepoetina alfa;60 µg/1 ml;Solução injetável
Darbepoetina alfa;80 µg/0.4 ml;Solução injetável em caneta pré-cheia
Darbepoetina alfa;80 µg/0.4 ml;Solução injetável em seringa pré-cheia
Darifenacina;15 mg;Comprimido de libertação prolongada
Darifenacina;7.5 mg;Comprimido de libertação prolongada
Darolutamida;300 mg;Comprimido revestido por película
Darunavir;100 mg/ml;Suspensão oral
Darunavir;150 mg;Comprimido revestido por película
Darunavir;300 mg;Comprimido revestido por película
Darunavir;400 mg;Comprimido revestido por película
Darunavir;600 mg;Comprimido revestido por película
Darunavir;75 mg;Comprimido revestido por película
Darunavir;800 mg;Comprimido revestido por película
Darunavir + Cobicistate;800 mg + 150 mg;Comprimido revestido por película
Darunavir + Cobicistate + Emtricitabina + Tenofovir alafenamida;800mg + 150mg + 200mg + 10mg;Comprimido revestido por película
Darvadstrocel;5000000 células/ml;Suspensão injetável
Dasabuvir;250 mg;Comprimido revestido por película
Dasatinib;100 mg;Comprimido revestido por película
Dasatinib;140 mg;Comprimido revestido por película
Dasatinib;20 mg;Comprimido revestido por película
Dasatinib;50 mg;Comprimido revestido por película
Dasatinib;70 mg;Comprimido revestido por película
Dasatinib;80 mg;Comprimido revestido por película
Daunorrubicina + Citarabina;2.2 mg/ml + 5 mg/ml;Pó para concentrado para solução para perfusão
Deanol + Ácido ascórbico + Para-aminobenzoato de magnésio;10 mg/ml + 20 mg/ml + 30 mg/ml;Solução oral
Deanol + Glicerofosfato de magnésio + Hesperidina;Associação;Solução oral
Deanol + Gluco-heptonato de cálcio + Lisina;10 mg/ml + 30 mg/ml + 40 mg/ml;Xarope
Deanol + Heptaminol;250 mg/5 ml + 180 mg/5 ml;Solução oral
Decitabina;50 mg;Pó para concentrado para solução para perfusão
Deferasirox;125 mg;Comprimido dispersível
Deferasirox;180;Granulado
Deferasirox;180 mg;Comprimido revestido por película
Deferasirox;250 mg;Comprimido dispersível
Deferasirox;360;Granulado
Deferasirox;360 mg;Comprimido revestido por película
Deferasirox;500 mg;Comprimido dispersível
Deferasirox;90 mg;Comprimido revestido por película
Deferasirox;90 mg;Granulado
Deferriprona;100 mg/ml;Solução oral
Deferriprona;1000 mg;Comprimido revestido por película
Deferriprona;500 mg;Comprimido revestido por película
Defibrotido;80 mg/ml;Concentrado para solução para perfusão
Deflazacorte;22.75 mg/ml;"Gotas orais; suspensão"
Deflazacorte;30 mg;Comprimido
Deflazacorte;6 mg;Comprimido
Degarrelix;120 mg;Pó e solvente para solução injetável
Degarrelix;80 mg;Pó e solvente para solução injetável
Delafloxacina;300 mg;Pó para concentrado para solução para perfusão
Delafloxacina;450 mg;Comprimido
Delamanid;50 mg;Comprimido revestido por película
"Delta-9-tetrahidrocanabinol (THC PFV) + Canabidiol (CBD PFV); Prep de Fármacos Vegetais; ext Cannabis sativa";27 mg/ml + 25 mg/ml;Solução para pulverização bucal
Denosumab;120 mg/1.7 ml;Solução injetável
Denosumab;60 mg/1 ml;Solução injetável em seringa pré-cheia
Desferroxamina;500 mg;Pó para solução injetável
Desflurano;100%;Líquido para inalação por vaporização
Desloratadina;0.5 mg/ml;Solução oral
Desloratadina;0.5 mg/ml;Xarope
Desloratadina;2.5 mg;Comprimido orodispersível
Desloratadina;5 mg;Comprimido
Desloratadina;5 mg;Comprimido orodispersível
Desloratadina;5 mg;Comprimido revestido por película
Desloratadina + Pseudoefedrina;2.5 mg + 120 mg;Comprimido de libertação modificada
Desmopressina;0.004 mg/1 ml;Solução injetável
Desmopressina;0.025 mg;Liofilizado oral
Desmopressina;0.05 mg;Liofilizado oral
Desmopressina;0.06 mg;Liofilizado oral
Desmopressina;0.1 mg;Comprimido
Desmopressina;0.1 mg/ml;Solução para pulverização nasal
Desmopressina;0.12 mg;Liofilizado oral
Desmopressina;0.2 mg;Comprimido
Desmopressina;0.24 mg;Liofilizado oral
Desmopressina;0.36 mg/ml;Solução oral
